page_id,name,ID,ALIGN,EYE,SEX,GSM,ALIVE,APPEARANCES,FIRST APPEARANCE,YEAR
1422,Batman (Bruce Wayne),Secret Identity,Good Characters,Blue Eyes,Male Characters,,Living Characters,3093.00,"1939, May",1939
23387,Superman (Clark Kent),Secret Identity,Good Characters,Blue Eyes,Male Characters,,Living Characters,3093.00,"1986, October",1986
1458,Green Lantern (Hal Jordan),Secret Identity,Good Characters,Brown Eyes,Male Characters,,Living Characters,3093.00,"1959, October",1959
1659,James Gordon (New Earth),Public Identity,Good Characters,Brown Eyes,Male Characters,,Living Characters,3093.00,"1987, February",1987
1576,Richard Grayson (New Earth),Secret Identity,Good Characters,Blue Eyes,Male Characters,,Living Characters,3093.00,"1940, April",1940
1448,Wonder Woman (Diana Prince),Public Identity,Good Characters,Blue Eyes,Female Characters,,Living Characters,3093.00,"1941, December",1941
1486,Aquaman (Arthur Curry),Public Identity,Good Characters,Blue Eyes,Male Characters,,Living Characters,3093.00,"1941, November",1941
1451,Timothy Drake (New Earth),Secret Identity,Good Characters,Blue Eyes,Male Characters,,Living Characters,3093.00,"1989, August",1989
71760,Dinah Laurel Lance (New Earth),Public Identity,Good Characters,Blue Eyes,Female Characters,,Living Characters,3093.00,"1969, November",1969
1380,Flash (Barry Allen),Secret Identity,Good Characters,Blue Eyes,Male Characters,,Living Characters,3093.00,"1956, October",1956
403631,GenderTest,Secret Identity,Good Characters,Blue Eyes,Female Characters,,Living Characters,3093.00,"1956, October",1956
1459,Alan Scott (New Earth),Secret Identity,Good Characters,Blue Eyes,Male Characters,,Deceased Characters,3093.00,"1940, July",1940
1905,Barbara Gordon (New Earth),Secret Identity,Good Characters,Blue Eyes,Female Characters,,Living Characters,3093.00,"1967, January",1967
1386,Jason Garrick (New Earth),Public Identity,Good Characters,Blue Eyes,Male Characters,,Living Characters,3093.00,"1940, January",1940
23383,Lois Lane (New Earth),Public Identity,Good Characters,Blue Eyes,Female Characters,,Living Characters,3093.00,"1938, June",1938
1456,Alfred Pennyworth (New Earth),Public Identity,Good Characters,Blue Eyes,Male Characters,,Living Characters,3093.00,"1943, April",1943
1849,Carter Hall (New Earth),Secret Identity,Good Characters,Blue Eyes,Male Characters,,Living Characters,3093.00,"1940, January",1940
4320,Kyle Rayner (New Earth),Secret Identity,Good Characters,Green Eyes,Male Characters,,Living Characters,3093.00,"1994, January",1994
1706,Raymond Palmer (New Earth),Public Identity,Good Characters,Brown Eyes,Male Characters,,Living Characters,3093.00,"1961, October",1961
1480,Alexander Luthor (New Earth),Public Identity,Bad Characters,Green Eyes,Male Characters,,Living Characters,3093.00,"1986, October",1986
1556,Roy Harper (New Earth),Secret Identity,Neutral Characters,Green Eyes,Male Characters,,Living Characters,3093.00,"1941, November",1941
1580,Kara Zor-L (Earth-Two),Secret Identity,Good Characters,Blue Eyes,Female Characters,,Living Characters,3093.00,"1976, February",1976
4849,Ted Grant (New Earth),Secret Identity,,Blue Eyes,Male Characters,,Living Characters,3093.00,"1942, January",1942
1611,Garfield Logan (New Earth),Public Identity,Good Characters,Green Eyes,Male Characters,,Living Characters,3093.00,"1965, November",1965
1479,Guy Gardner (New Earth),Public Identity,Good Characters,Blue Eyes,Male Characters,,Living Characters,3093.00,"1968, March",1968
1582,Victor Stone (New Earth),Public Identity,Good Characters,Brown Eyes,Male Characters,,Living Characters,3093.00,"1980, October",1980
14006,Kon-El (New Earth),Secret Identity,Good Characters,Blue Eyes,Male Characters,,Living Characters,3093.00,"1993, June",1993
1484,Ralph Dibny (New Earth),Public Identity,,Blue Eyes,Male Characters,,Deceased Characters,3093.00,"1960, May",1960
23391,James Olsen (New Earth),Public Identity,Good Characters,Green Eyes,Male Characters,,Living Characters,3093.00,"1986, October",1986
1478,John Stewart (New Earth),Public Identity,Good Characters,Brown Eyes,Male Characters,,Living Characters,3093.00,"1971, December",1971
1455,Joker (New Earth),Secret Identity,Bad Characters,Green Eyes,Male Characters,,Living Characters,3093.00,"1940, June",1940
10163,Franklin Rock (New Earth),Public Identity,Good Characters,Blue Eyes,Male Characters,,Living Characters,3093.00,"1959, April",1959
1872,Garth (New Earth),Public Identity,Good Characters,Purple Eyes,Male Characters,,Deceased Characters,3093.00,"1960, February",1960
1616,Rex Mason (New Earth),Secret Identity,,Black Eyes,Male Characters,,Living Characters,3093.00,"1965, January",1965
1577,Zatanna Zatara (New Earth),Public Identity,Good Characters,Blue Eyes,Female Characters,,Living Characters,3093.00,"1964, November",1964
6791,Aztar (New Earth),Secret Identity,,White Eyes,Male Characters,,Living Characters,3093.00,"1940, February",1940
1481,Theodore Kord (New Earth),Secret Identity,,Blue Eyes,Male Characters,,Deceased Characters,3093.00,"1986, February",1986
1559,Michael Jon Carter (New Earth),Public Identity,Good Characters,Blue Eyes,Male Characters,,Living Characters,3093.00,"1986, February",1986
1607,Cassandra Sandsmark (New Earth),Public Identity,Good Characters,Blue Eyes,Female Characters,,Living Characters,3093.00,"1996, January",1996
1680,Kent Nelson (New Earth),Secret Identity,Good Characters,Blue Eyes,Male Characters,,Deceased Characters,3093.00,"1940, May",1940
1662,Harvey Bullock (New Earth),Public Identity,Good Characters,Brown Eyes,Male Characters,,Living Characters,3093.00,"1974, July",1974
1864,Rachel Roth (New Earth),Secret Identity,Good Characters,Purple Eyes,Female Characters,,Living Characters,3093.00,"1980, October",1980
37696,Helena Bertinelli (New Earth),Secret Identity,Good Characters,Blue Eyes,Female Characters,,Living Characters,3093.00,"1989, April",1989
1981,Wesley Dodds (New Earth),Secret Identity,Good Characters,Brown Eyes,Male Characters,,Deceased Characters,3093.00,"1939, April",1939
1514,Uxas (New Earth),Public Identity,Bad Characters,Red Eyes,Male Characters,,Deceased Characters,3093.00,"1970, December",1970
1560,Nathaniel Adam (New Earth),Secret Identity,Good Characters,Blue Eyes,Male Characters,,Living Characters,3093.00,"1987, March",1987
23652,Ronald Raymond (New Earth),Secret Identity,Good Characters,Blue Eyes,Male Characters,,Living Characters,3093.00,"1978, March",1978
2433,Red Tornado (New Earth),Secret Identity,Good Characters,Green Eyes,Male Characters,,Living Characters,3093.00,"1968, August",1968
1704,John Constantine (New Earth),Public Identity,Good Characters,Blue Eyes,Male Characters,Bisexual Characters,Living Characters,3093.00,"1984, June",1984
1995,Albert Pratt (New Earth),Secret Identity,Good Characters,Blue Eyes,Male Characters,,Deceased Characters,3093.00,"1940, October",1940
1684,Charles McNider (New Earth),Secret Identity,,Blue Eyes,Male Characters,,Deceased Characters,3093.00,"1941, April",1941
1687,Theodore Knight (New Earth),Secret Identity,Good Characters,Brown Eyes,Male Characters,,Deceased Characters,3093.00,"1941, April",1941
1564,Lobo (New Earth),Public Identity,Neutral Characters,Red Eyes,Male Characters,,Living Characters,3093.00,"1983, June",1983
1488,Perry White (New Earth),Public Identity,,Blue Eyes,Male Characters,,Living Characters,3093.00,"1986, October",1986
