Rank,Country,Colonial_name,Colonial_power,Independence_date,Year,First_leader,Independence_won
1,Liberia,Liberia,United States,26 July 1847,1847,Joseph Jenkins Roberts,Liberian Declaration of Independence
2,South Africa,Cape Colony   Colony of Natal   Orange River Colony   Transvaal Colony,United Kingdom,31-May-10,1910,Louis Botha,South Africa Act 1909
3,Egypt,Sultanate of Egypt,United Kingdom,28-Feb-22,1922,Fuad I,Egyptian revolution of 1919
4,Eritrea,Italian Eritrea,Italy,10-Feb-47,1947,Haile Selassie,-
5,Libya,Italian Libya,Italy,24-Dec-51,1951,Idris,-
6,Sudan,Anglo-Egyptian Sudan,United Kingdom,1-Jan-56,1956,Ismail al-Azhari,-
7,South Sudan,Anglo-Egyptian Sudan,United Kingdom,1-Jan-56,1956,Ismail al-Azhari,-
8,Tunisia,French Protectorate of Tunisia,France,20-Mar-56,1956,Muhammad VIII al-AminHabib Bourguiba,-
9,Morocco,French Protectorate in Morocco Tangier International Zone Spanish Protectorate in Morocco Spanish West Africa Ifni,France,2-Mar-56,1956,Mohammed V,Ifni War
10,Ghana,Gold Coast,United Kingdom,6-Mar-57,1957,Kwame Nkrumah,1956 Gold Coast legislative election
11,Guinea,French West Africa,France,2-Oct-58,1958,Ahmed Sékou Touré,1958 Guinean constitutional referendum
12,Cameroon,French Cameroons,France,1-Jan-60,1960,Ahmadou Ahidjo,-
13,Togo,French Togoland,France,27-Apr-60,1960,Sylvanus Olympio,-
14,Mali,French West Africa,France,20-Jun-60,1960,Modibo Keïta,-
15,Senegal,French West Africa,France,20-Jun-60,1960,Léopold Sédar Senghor,-
16,Madagascar,French Madagascar,France,26-Jun-60,1960,Philibert Tsiranana,
17,Democratic Republic of the Congo,Belgian Congo,Belgium,30-Jun-60,1960,Patrice Lumumba,Belgo-Congolese Round Table Conference[ah]
18,Somalia,British Somaliland Trust Territory of Somaliland,United Kingdom¬†Italy,1-Jul-60,1960,Aden Abdullah Osman Daar,-
19,Benin,French West Africa,France,1-Aug-60,1960,Hubert Maga,-
20,Niger,French West Africa,France,3-Aug-60,1960,Hamani Diori,-
21,Burkina Faso,French West Africa,France,5-Aug-60,1960,Maurice Yaméogo,-
22,Ivory Coast,French West Africa,France,7-Aug-60,1960,Félix Houphouët-Boigny,
23,Chad,French Equatorial Africa,France,11-Aug-60,1960,François Tombalbaye,-
24,Central African Republic,French Equatorial Africa,France,13-Aug-60,1960,David Dacko,-
25,Republic of the Congo,French Equatorial Africa,France,15-Aug-60,1960,Fulbert Youlou,-
26,Gabon,French Equatorial Africa,France,17-Aug-60,1960,Léon M'ba,-
27,Nigeria,Colony and Protectorate of Nigeria British Cameroons,United Kingdom,1-Oct-60,1960,Nnamdi Azikiwe,-
28,Mauritania,French West Africa,France,28-Nov-60,1960,Moktar Ould Daddah,-
29,Sierra Leone,Colony and Protectorate of Sierra Leone,United Kingdom,27-Apr-61,1961,Milton Margai,-
30,Tanganyika,Tanganyika Territory,United Kingdom,9-Dec-61,1961,Julius Nyerere,-
31,Burundi,Ruanda-Urundi,Belgium,1-Jul-62,1962,Mwambutsa IV of Burundi,-
32,Rwanda,Ruanda-Urundi,Belgium,1-Jul-62,1962,Grégoire Kayibanda,Rwandan Revolution
33,Algeria,French Algeria,France,5-Jul-62,1962,Ahmed Ben Bella,Algerian War
34,Uganda,Protectorate of Uganda,United Kingdom,9-Oct-62,1962,Milton Obote,-
35,Kenya,Colony and Protectorate of Kenya,United Kingdom,12-Dec-63,1963,Jomo Kenyatta,-
36,Sultanate of Zanzibar,Sultanate of Zanzibar,United Kingdom,10-Dec-63,1963,Jamshid bin Abdullah,-
37,Malawi,Nyasaland,United Kingdom,6-Jul-64,1964,Hastings Banda,-
38,Zambia,Northern Rhodesia,United Kingdom,24-Oct-64,1964,Kenneth Kaunda,-
39,The Gambia,Gambia Colony and Protectorate,United Kingdom,18-Feb-65,1965,Dawda Jawara,-
40,Zimbabwe,Southern Rhodesia,United Kingdom,17-Apr-80,1980,Ian SmithRobert Mugabe,Rhodesia's Unilateral Declaration of IndependenceLancaster House Agreement
41,Botswana,Bechuanaland Protectorate,United Kingdom,30-Sep-66,1966,Seretse Khama,-
42,Lesotho,Territory of Basutoland,United Kingdom,4-Oct-66,1966,Leabua Jonathan,-
43,Mauritius,Mauritius,United Kingdom,12-Mar-68,1968,Seewoosagur Ramgoolam,-
44,Swaziland,Swaziland,United Kingdom,6-Sep-68,1968,Sobhuza II,-
45,Equatorial Guinea,Spanish Territories of the Gulf of Guinea,Spain,12-Oct-68,1968,Francisco Macías Nguema,-
46,Guinea-Bissau,Overseas Province of Guinea,Portugal,10-Sep-74,1974,Luís Cabral,Guinea-Bissau War of Independence
47,Mozambique,State of Mozambique,Portugal,25-Jun-75,1975,Samora Machel,Mozambican War of Independence
48,Cape Verde,Overseas Province of Cape Verde,Portugal,5-Jul-75,1975,Aristides Pereira,Guinea-Bissau War of Independence[bb]
49,Comoros,French Comoros,France,6-Jul-75,1975,Ahmed Abdallah,1974 Comorian independence referendum
50,São Tomé and Príncipe,Overseas Province of S√£o Tom√© and Pr√≠ncipe,Portugal,12-Jul-75,1975,Manuel Pinto da Costa,-
51,Angola,State of Angola,Portugal,11-Nov-75,1975,Agostinho Neto,Angolan War of Independence
52,Seychelles,Seychelles,United Kingdom,29-Jun-76,1976,James Mancha,-
53,Djibouti,French Territory of the Afars and the Issas,France,27-Jun-77,1977,Hassan Gouled Aptidon,1977 Afars and Issas independence referendum
54,Sahrawi Arab Democratic Republic,Spanish SaharaSouthern Provinces,Spain,27-Feb-76,1976,El-Ouali Mustapha SayedMohamed Abdelaziz,Western Sahara WarWestern Sahara conflict
