Rank,Title,Gross,Theaters,Total_Gross,Release_Date,Distributor,Gender,Name,POC
1,Black Panther,"$700,059,566 ","4,084",700059566.00,16-Feb,Walt Disney Studios Motion Pictures,Male,,TRUE
28,Creed II,"$112,448,520 ","3,752",115715889.00,21-Nov,Metro-Goldwyn-Mayer (MGM),Male,,TRUE
29,Spider-Man: Into the Spider-Verse,"$108,146,445 ","3,813",190241310.00,14-Dec,Sony Pictures Releasing,Male,,TRUE
32,The Equalizer 2,"$102,084,362 ","3,388",102084362.00,20-Jul,Sony Pictures Releasing,Male,,TRUE
34,A Wrinkle in Time,"$100,478,608 ","3,980",100478608.00,9-Mar,Walt Disney Studios Motion Pictures,Female,Ave DuVernay,TRUE
40,Night School,"$77,316,580 ","3,019",77339130.00,28-Sep,Universal Pictures,Male,,TRUE
42,The First Purge,"$69,488,745 ","3,038",69488745.00,4-Jul,Universal Pictures,Male,,TRUE
62,BlacKkKlansman,"$48,271,960 ","1,914",49275340.00,10-Aug,Focus Features,Male,,TRUE
71,Tyler Perry's Acrimony,"$43,549,096 ","2,006",43549096.00,30-Mar,Lionsgate,Male,,TRUE
73,Uncle Drew,"$42,469,946 ","2,742",42469946.00,29-Jun,Lionsgate,Male,,TRUE
74,Widows,"$41,904,173 ","2,803",42402632.00,16-Nov,Twentieth Century Fox,Male,,TRUE
83,Alpha,"$35,857,181 ","2,881",35857181.00,17-Aug,Studio 8,Male,,TRUE
90,Nobody's Fool,"$31,713,110 ","2,468",31713110.00,2-Nov,Paramount Pictures,Male,,TRUE
95,Slender Man,"$30,569,484 ","2,358",30569484.00,10-Aug,Screen Gems,Male,,TRUE
100,The Hate U Give,"$29,666,375 ","2,375",29719483.00,5-Oct,Twentieth Century Fox,Male,,TRUE
